i, j, E, error
6, 40, -10.6326, 1.16511e-09
6, 41, -10.6326, 1.16511e-09
6, 42, -10.6326, 1.16511e-09
6, 43, -10.6326, 1.16511e-09
6, 44, -10.6326, 1.16511e-09
6, 45, -10.6326, 1.16511e-09
6, 46, -10.6326, 1.16511e-09
6, 47, -10.6326, 1.16511e-09
6, 48, -10.6326, 1.16511e-09
6, 49, -10.6326, 1.16511e-09
6, 50, -10.6326, 1.16511e-09
6, 51, -10.6326, 1.16511e-09
6, 52, -10.6326, 1.16511e-09
6, 53, -10.6326, 1.16511e-09
6, 54, -10.6326, 1.16511e-09
6, 55, -10.6326, 1.16511e-09
6, 56, -10.6326, 1.16511e-09
6, 57, -10.6326, 1.16511e-09
6, 58, -10.6326, 1.16511e-09
6, 59, -10.6326, 1.16511e-09
6, 60, -10.6326, 1.16511e-09
6, 61, -10.6326, 1.16511e-09
6, 62, -10.6326, 1.16511e-09
6, 63, -10.6326, 1.16511e-09
7, 0, -11.1589, 1.18532e-09
7, 1, -11.1589, 1.18532e-09
7, 2, -11.1589, 1.18532e-09
7, 3, -11.1589, 1.18532e-09
7, 4, -11.1589, 1.18532e-09
7, 5, -11.1589, 1.18532e-09
7, 6, -11.1589, 1.18532e-09
7, 7, -11.1589, 1.18532e-09
7, 8, -11.1589, 1.18532e-09
7, 9, -11.1589, 1.18532e-09
7, 10, -11.1589, 1.18532e-09
7, 11, -11.1589, 1.18532e-09
7, 12, -11.1589, 1.18532e-09
7, 13, -11.1589, 1.18532e-09
7, 14, -11.1589, 1.18532e-09
7, 15, -11.1589, 1.18532e-09
7, 16, -11.1589, 1.18532e-09
7, 17, -11.1589, 1.18532e-09
7, 18, -11.1589, 1.18532e-09
7, 19, -11.1589, 1.18532e-09
7, 20, -11.1589, 1.18532e-09
7, 21, -11.1589, 1.18532e-09
7, 22, -11.1589, 1.18532e-09
7, 23, -11.1589, 1.18532e-09
7, 24, -11.1589, 1.18532e-09
7, 25, -11.1589, 1.18532e-09
7, 26, -11.1589, 1.18532e-09
7, 27, -11.1589, 1.18532e-09
7, 28, -11.1589, 1.18532e-09
7, 29, -11.1589, 1.18532e-09
7, 30, -11.1589, 1.18532e-09
7, 31, -11.1589, 1.18532e-09
7, 32, -11.1589, 1.18532e-09
7, 33, -11.1589, 1.18532e-09
7, 34, -11.1589, 1.18532e-09
7, 35, -11.1589, 1.18532e-09
7, 36, -11.1589, 1.18532e-09
7, 37, -11.1589, 1.18532e-09
7, 38, -11.1589, 1.18532e-09
7, 39, -11.1589, 1.18532e-09
7, 40, -11.1589, 1.18532e-09
7, 41, -11.1589, 1.18532e-09
7, 42, -11.1589, 1.18532e-09
7, 43, -11.1589, 1.18532e-09
7, 44, -11.1589, 1.18532e-09
7, 45, -11.1589, 1.18532e-09
7, 46, -11.1589, 1.18532e-09
7, 47, -11.1589, 1.18532e-09
7, 48, -11.1589, 1.18532e-09
7, 49, -11.1589, 1.18532e-09
7, 50, -11.1589, 1.18532e-09
7, 51, -11.1589, 1.18532e-09
7, 52, -11.1589, 1.18532e-09
7, 53, -11.1589, 1.18532e-09
7, 54, -11.1589, 1.18532e-09
7, 55, -11.1589, 1.18532e-09
7, 56, -11.1589, 1.18532e-09
7, 57, -11.1589, 1.18532e-09
7, 58, -11.1589, 1.18532e-09
7, 59, -11.1589, 1.18532e-09
7, 60, -11.1589, 1.18532e-09
7, 61, -11.1589, 1.18532e-09
7, 62, -11.1589, 1.18532e-09
7, 63, -11.1589, 1.18532e-09
8, 0, -11.5788, 1.20625e-09
8, 1, -11.5788, 1.20625e-09
