Scale, Error, Expectation
209501, 6.34233e-09, -4.71189
210001, 6.32723e-09, -4.71677
210501, 6.3122e-09, -4.72165
211001, 6.29725e-09, -4.72652
211501, 6.28236e-09, -4.73138
212001, 6.26754e-09, -4.73624
212501, 6.25279e-09, -4.74109
213001, 6.23812e-09, -4.74593
213501, 6.22351e-09, -4.75076
214001, 6.20897e-09, -4.75558
214501, 6.19449e-09, -4.7604
215001, 6.18009e-09, -4.76521
215501, 6.16575e-09, -4.77002
216001, 6.15148e-09, -4.77481
216501, 6.13727e-09, -4.7796
217001, 6.12313e-09, -4.78438
217501, 6.10905e-09, -4.78916
218001, 6.09504e-09, -4.79392
218501, 6.08109e-09, -4.79868
219001, 6.06721e-09, -4.80344
219501, 6.05339e-09, -4.80818
220001, 6.03963e-09, -4.81292
220501, 6.02594e-09, -4.81765
221001, 6.0123e-09, -4.82238
221501, 5.99873e-09, -4.8271
222001, 5.98522e-09, -4.83181
222501, 5.97177e-09, -4.83651
223001, 5.95838e-09, -4.84121
223501, 5.94505e-09, -4.8459
224001, 5.93178e-09, -4.85058
224501, 5.91857e-09, -4.85526
225001, 5.90542e-09, -4.85993
225501, 5.89232e-09, -4.86459
226001, 5.87929e-09, -4.86925
226501, 5.86631e-09, -4.8739
227001, 5.85339e-09, -4.87854
227501, 5.84052e-09, -4.88317
228001, 5.82772e-09, -4.8878
228501, 5.81496e-09, -4.89242
229001, 5.80227e-09, -4.89704
229501, 5.78963e-09, -4.90165
230001, 5.77704e-09, -4.90625
230501, 5.76451e-09, -4.91085
231001, 5.75203e-09, -4.91544
231501, 5.73961e-09, -4.92002
232001, 5.72724e-09, -4.92459
232501, 5.71492e-09, -4.92916
233001, 5.70266e-09, -4.93373
233501, 5.69045e-09, -4.93828
234001, 5.67829e-09, -4.94283
234501, 5.66618e-09, -4.94738
235001, 5.65413e-09, -4.95192
235501, 5.64212e-09, -4.95645
236001, 5.63017e-09, -4.96097
236501, 5.61826e-09, -4.96549
237001, 5.60641e-09, -4.97
237501, 5.59461e-09, -4.97451
238001, 5.58286e-09, -4.97901
238501, 5.57115e-09, -4.9835
239001, 5.5595e-09, -4.98798
239501, 5.54789e-09, -4.99246
240001, 5.53633e-09, -4.99694
240501, 5.52482e-09, -5.00141
241001, 5.51336e-09, -5.00587
241501, 5.50194e-09, -5.01032
242001, 5.49058e-09, -5.01478
242501, 5.47926e-09, -5.01922
243001, 5.46798e-09, -5.02366
243501, 5.45675e-09, -5.02809
244001, 5.44557e-09, -5.03252
244501, 5.43444e-09, -5.03693
245001, 5.42335e-09, -5.04135
245501, 5.4123e-09, -5.04575
246001, 5.4013e-09, -5.05015
246501, 5.39034e-09, -5.05455
247001, 5.37943e-09, -5.05894
247501, 5.36856e-09, -5.06332
248001, 5.35774e-09, -5.0677
248501, 5.34696e-09, -5.07207
249001, 5.33622e-09, -5.07644
249501, 5.32553e-09, -5.0808
250001, 5.31488e-09, -5.08515
250501, 5.30427e-09, -5.0895
251001, 5.2937e-09, -5.09384
251501, 5.28318e-09, -5.09818
252001, 5.2727e-09, -5.10251
252501, 5.26226e-09, -5.10684
253001, 5.25186e-09, -5.11116
253501, 5.2415e-09, -5.11547
254001, 5.23118e-09, -5.11978
254501, 5.2209e-09, -5.12408
255001, 5.21067e-09, -5.12838
255501, 5.20047e-09, -5.13267
256001, 5.19031e-09, -5.13695
256501, 5.18019e-09, -5.14124
257001, 5.17012e-09, -5.14551
257501, 5.16008e-09, -5.14978
258001, 5.15008e-09, -5.15404
258501, 5.14012e-09, -5.1583
259001, 5.13019e-09, -5.16255
259501, 5.12031e-09, -5.1668
260001, 5.11046e-09, -5.17104
260501, 5.10065e-09, -5.17527
261001, 5.09088e-09, -5.1795
261501, 5.08115e-09, -5.18373
262001, 5.07145e-09, -5.18795
262501, 5.06179e-09, -5.19216
263001, 5.05217e-09, -5.19637
263501, 5.04258e-09, -5.20057
264001, 5.03303e-09, -5.20477
264501, 5.02352e-09, -5.20896
265001, 5.01404e-09, -5.21315
265501, 5.0046e-09, -5.21733
266001, 4.99519e-09, -5.22151
266501, 4.98582e-09, -5.22568
267001, 4.97648e-09, -5.22984
267501, 4.96718e-09, -5.234
268001, 4.95791e-09, -5.23816
268501, 4.94868e-09, -5.24231
269001, 4.93948e-09, -5.24645
269501, 4.93032e-09, -5.25059
270001, 4.92119e-09, -5.25473
270501, 4.91209e-09, -5.25886
271001, 4.90303e-09, -5.26298
271501, 4.894e-09, -5.2671
272001, 4.885e-09, -5.27121
272501, 4.87604e-09, -5.27532
273001, 4.86711e-09, -5.27942
273501, 4.85821e-09, -5.28352
274001, 4.84934e-09, -5.28761
274501, 4.84051e-09, -5.2917
275001, 4.83171e-09, -5.29579
275501, 4.82294e-09, -5.29986
276001, 4.8142e-09, -5.30394
276501, 4.8055e-09, -5.308
277001, 4.79682e-09, -5.31207
277501, 4.78818e-09, -5.31613
278001, 4.77957e-09, -5.32018
278501, 4.77099e-09, -5.32423
279001, 4.76244e-09, -5.32827
279501, 4.75392e-09, -5.33231
280001, 4.74543e-09, -5.33634
280501, 4.73697e-09, -5.34037
281001, 4.72854e-09, -5.34439
281501, 4.72014e-09, -5.34841
282001, 4.71177e-09, -5.35243
282501, 4.70343e-09, -5.35643
283001, 4.69512e-09, -5.36044
283501, 4.68684e-09, -5.36444
284001, 4.67859e-09, -5.36843
284501, 4.67037e-09, -5.37242
285001, 4.66218e-09, -5.3764
285501, 4.65401e-09, -5.38038
286001, 4.64588e-09, -5.38436
286501, 4.63777e-09, -5.38833
287001, 4.62969e-09, -5.3923
287501, 4.62164e-09, -5.39626
288001, 4.61361e-09, -5.40021
288501, 4.60562e-09, -5.40416
289001, 4.59765e-09, -5.40811
289501, 4.58971e-09, -5.41206
290001, 4.58179e-09, -5.41599
290501, 4.57391e-09, -5.41992
291001, 4.56605e-09, -5.42385
291501, 4.55822e-09, -5.42778
292001, 4.55041e-09, -5.43169
292501, 4.54263e-09, -5.43561
293001, 4.53488e-09, -5.43952
293501, 4.52716e-09, -5.44342
294001, 4.51946e-09, -5.44732
294501, 4.51178e-09, -5.45122
295001, 4.50414e-09, -5.45511
295501, 4.49652e-09, -5.459
296001, 4.48892e-09, -5.46288
296501, 4.48135e-09, -5.46676
297001, 4.47381e-09, -5.47063
297501, 4.46629e-09, -5.4745
298001, 4.45879e-09, -5.47836
298501, 4.45133e-09, -5.48222
299001, 4.44388e-09, -5.48608
299501, 4.43646e-09, -5.48993
300001, 4.42907e-09, -5.49378
300501, 4.4217e-09, -5.49762
301001, 4.41435e-09, -5.50146
301501, 4.40703e-09, -5.50529
302001, 4.39974e-09, -5.50912
302501, 4.39247e-09, -5.51294
303001, 4.38522e-09, -5.51676
303501, 4.37799e-09, -5.52058
304001, 4.37079e-09, -5.52439
304501, 4.36361e-09, -5.5282
305001, 4.35646e-09, -5.532
305501, 4.34933e-09, -5.5358
306001, 4.34222e-09, -5.53959
306501, 4.33514e-09, -5.54338
307001, 4.32808e-09, -5.54717
307501, 4.32104e-09, -5.55095
308001, 4.31403e-09, -5.55473
308501, 4.30704e-09, -5.5585
309001, 4.30007e-09, -5.56227
309501, 4.29312e-09, -5.56603
310001, 4.2862e-09, -5.56979
310501, 4.27929e-09, -5.57355
311001, 4.27241e-09, -5.5773
311501, 4.26556e-09, -5.58105
312001, 4.25872e-09, -5.58479
312501, 4.25191e-09, -5.58853
313001, 4.24511e-09, -5.59227
313501, 4.23834e-09, -5.59599
314001, 4.2316e-09, -5.59972
314501, 4.22487e-09, -5.60344
315001, 4.21816e-09, -5.60716
315501, 4.21148e-09, -5.61088
316001, 4.20481e-09, -5.61458
316501, 4.19817e-09, -5.61829
317001, 4.19155e-09, -5.62199
317501, 4.18495e-09, -5.62569
318001, 4.17837e-09, -5.62938
318501, 4.17181e-09, -5.63308
319001, 4.16527e-09, -5.63676
319501, 4.15875e-09, -5.64044
320001, 4.15225e-09, -5.64412
320501, 4.14577e-09, -5.64779
321001, 4.13932e-09, -5.65146
321501, 4.13288e-09, -5.65513
322001, 4.12646e-09, -5.65879
322501, 4.12006e-09, -5.66245
323001, 4.11369e-09, -5.6661
323501, 4.10733e-09, -5.66975
324001, 4.10099e-09, -5.6734
324501, 4.09467e-09, -5.67704
325001, 4.08837e-09, -5.68068
325501, 4.08209e-09, -5.68431
326001, 4.07583e-09, -5.68794
326501, 4.06959e-09, -5.69157
327001, 4.06337e-09, -5.69519
327501, 4.05716e-09, -5.69881
328001, 4.05098e-09, -5.70242
328501, 4.04481e-09, -5.70603
329001, 4.03867e-09, -5.70964
329501, 4.03254e-09, -5.71324
330001, 4.02643e-09, -5.71684
330501, 4.02034e-09, -5.72044
331001, 4.01426e-09, -5.72403
331501, 4.00821e-09, -5.72761
332001, 4.00217e-09, -5.7312
332501, 3.99615e-09, -5.73478
333001, 3.99015e-09, -5.73835
333501, 3.98417e-09, -5.74192
334001, 3.97821e-09, -5.74549
334501, 3.97226e-09, -5.74906
335001, 3.96633e-09, -5.75262
335501, 3.96042e-09, -5.75618
336001, 3.95453e-09, -5.75973
336501, 3.94865e-09, -5.76328
337001, 3.94279e-09, -5.76683
337501, 3.93695e-09, -5.77037
338001, 3.93113e-09, -5.77391
338501, 3.92532e-09, -5.77744
339001, 3.91953e-09, -5.78097
339501, 3.91376e-09, -5.7845
340001, 3.908e-09, -5.78803
340501, 3.90226e-09, -5.79155
341001, 3.89654e-09, -5.79506
341501, 3.89084e-09, -5.79858
342001, 3.88515e-09, -5.80208
342501, 3.87948e-09, -5.80559
343001, 3.87382e-09, -5.80909
343501, 3.86818e-09, -5.81259
344001, 3.86256e-09, -5.81608
344501, 3.85696e-09, -5.81957
345001, 3.85137e-09, -5.82306
345501, 3.84579e-09, -5.82655
346001, 3.84023e-09, -5.83003
346501, 3.83469e-09, -5.83351
347001, 3.82917e-09, -5.83698
347501, 3.82366e-09, -5.84045
348001, 3.81816e-09, -5.84391
348501, 3.81269e-09, -5.84738
349001, 3.80722e-09, -5.85084
349501, 3.80178e-09, -5.85429
350001, 3.79635e-09, -5.85774
350501, 3.79093e-09, -5.86119
351001, 3.78553e-09, -5.86464
351501, 3.78015e-09, -5.86808
352001, 3.77478e-09, -5.87151
352501, 3.76942e-09, -5.87495
353001, 3.76408e-09, -5.87838
353501, 3.75876e-09, -5.88181
354001, 3.75345e-09, -5.88523
354501, 3.74816e-09, -5.88865
355001, 3.74288e-09, -5.89207
355501, 3.73761e-09, -5.89548
356001, 3.73236e-09, -5.8989
356501, 3.72713e-09, -5.9023
357001, 3.72191e-09, -5.9057
357501, 3.7167e-09, -5.9091
358001, 3.71151e-09, -5.9125
358501, 3.70634e-09, -5.9159
359001, 3.70117e-09, -5.91928
359501, 3.69603e-09, -5.92267
360001, 3.69089e-09, -5.92606
360501, 3.68577e-09, -5.92943
361001, 3.68067e-09, -5.93281
361501, 3.67558e-09, -5.93618
362001, 3.6705e-09, -5.93956
362501, 3.66544e-09, -5.94292
363001, 3.66039e-09, -5.94628
363501, 3.65535e-09, -5.94964
364001, 3.65033e-09, -5.953
364501, 3.64533e-09, -5.95635
365001, 3.64033e-09, -5.9597
365501, 3.63535e-09, -5.96305
366001, 3.63039e-09, -5.96639
366501, 3.62543e-09, -5.96973
367001, 3.62049e-09, -5.97307
367501, 3.61557e-09, -5.9764
368001, 3.61066e-09, -5.97973
368501, 3.60576e-09, -5.98306
369001, 3.60087e-09, -5.98638
369501, 3.596e-09, -5.9897
370001, 3.59114e-09, -5.99302
370501, 3.58629e-09, -5.99633
371001, 3.58146e-09, -5.99964
371501, 3.57664e-09, -6.00295
372001, 3.57183e-09, -6.00626
372501, 3.56704e-09, -6.00956
373001, 3.56226e-09, -6.01285
373501, 3.55749e-09, -6.01615
374001, 3.55273e-09, -6.01944
374501, 3.54799e-09, -6.02273
375001, 3.54326e-09, -6.02602
375501, 3.53854e-09, -6.0293
376001, 3.53383e-09, -6.03258
376501, 3.52914e-09, -6.03585
377001, 3.52446e-09, -6.03912
377501, 3.51979e-09, -6.04239
378001, 3.51514e-09, -6.04566
378501, 3.51049e-09, -6.04892
379001, 3.50586e-09, -6.05218
379501, 3.50124e-09, -6.05544
380001, 3.49664e-09, -6.05869
380501, 3.49204e-09, -6.06194
381001, 3.48746e-09, -6.06519
381501, 3.48289e-09, -6.06843
382001, 3.47833e-09, -6.07167
382501, 3.47378e-09, -6.07491
383001, 3.46925e-09, -6.07815
383501, 3.46472e-09, -6.08138
384001, 3.46021e-09, -6.08461
384501, 3.45571e-09, -6.08784
385001, 3.45123e-09, -6.09106
385501, 3.44675e-09, -6.09428
386001, 3.44228e-09, -6.09749
386501, 3.43783e-09, -6.10071
387001, 3.43339e-09, -6.10392
387501, 3.42896e-09, -6.10713
